Site;Transmitter;Azimuth (°);Site.Longitude;Site.Latitude
LUG459;LUG459_2;210;39,592777778E;48,0175N
LUG459;LUG459_3;330;39,592777778E;48,0175N
LUG461;LUG461_1;40;39,094166667E;48,446666667N
LUG461;LUG461_2;155;39,094166667E;48,446666667N
LUG461;LUG461_3;270;39,094166667E;48,446666667N
LUG462;LUG462_1;60;39,067777778E;48,015833333N
LUG462;LUG462_2;160;39,067777778E;48,015833333N
LUG462;LUG462_3;310;39,067777778E;48,015833333N
LUG463;LUG463_1;350;38,613055556E;48,273055556N
LUG463;LUG463_2;110;38,613055556E;48,273055556N
LUG463;LUG463_3;225;38,613055556E;48,273055556N
LUG464;LUG464_1;90;38,643055556E;48,310277778N
LUG464;LUG464_2;240;38,643055556E;48,310277778N
LUG464;LUG464_3;340;38,643055556E;48,310277778N
LUG465;LUG465_1;40;39,015277778E;48,316944444N
LUG465;LUG465_2;160;39,015277778E;48,316944444N
LUG465;LUG465_3;270;39,015277778E;48,316944444N
LUG466;LUG466_1;0;39,190833333E;48,295833333N
LUG466;LUG466_2;130;39,190833333E;48,295833333N
LUG466;LUG466_3;245;39,190833333E;48,295833333N
LUG467;LUG467_1;100;39,285E;48,356944444N
LUG467;LUG467_2;190;39,285E;48,356944444N
LUG467;LUG467_3;340;39,285E;48,356944444N
LUG468;LUG468_1;0;39,431388889E;48,333888889N
LUG468;LUG468_2;120;39,431388889E;48,333888889N
LUG468;LUG468_3;280;39,431388889E;48,333888889N
LUG469;LUG469_1;100;38,666666667E;48,228888889N
LUG469;LUG469_2;200;38,666666667E;48,228888889N
LUG469;LUG469_3;315;38,666666667E;48,228888889N
LUG470;LUG470_1;0;38,719083333E;48,224561111N
LUG470;LUG470_2;110;38,719083333E;48,224561111N
LUG470;LUG470_3;210;38,719083333E;48,224561111N
LUG471;LUG471_1;96,3;39,144166667E;47,948888889N
LUG471;LUG471_2;180;39,144166667E;47,948888889N
LUG471;LUG471_3;300;39,144166667E;47,948888889N
LUG472;LUG472_1;355;39,594444444E;48,2775N
LUG472;LUG472_2;100;39,594444444E;48,2775N
LUG472;LUG472_3;260;39,594444444E;48,2775N
LUG473;LUG473_1;30;39,025833333E;48,0475N
LUG473;LUG473_2;150;39,025833333E;48,0475N
LUG473;LUG473_3;270;39,025833333E;48,0475N
LUG479;LUG479_1;105;39,3025E;48,671388889N
LUG479;LUG479_2;252;39,3025E;48,671388889N
LUG479;LUG479_3;341,9;39,3025E;48,671388889N
LUG484;LUG484_1;20;38,756944444E;48,139166667N
LUG484;LUG484_2;120;38,756944444E;48,139166667N
LUG484;LUG484_3;270;38,756944444E;48,139166667N
LUG485;LUG485_1;30;38,799444444E;48,150833333N
LUG485;LUG485_2;150;38,799444444E;48,150833333N
LUG485;LUG485_3;270;38,799444444E;48,150833333N
LUG486;LUG486_1;130;39,750697222E;47,858013889N
LUG486;LUG486_2;280;39,750697222E;47,858013889N
LUG486;LUG486_3;350;39,750697222E;47,858013889N
LUG487;LUG487_1;90;39,508333333E;47,883333333N
LUG487;LUG487_2;230;39,508333333E;47,883333333N
LUG487;LUG487_3;310;39,508333333E;47,883333333N
LUG488;LUG488_1;0;38,794444444E;48,394166667N
LUG488;LUG488_2;120;38,794444444E;48,394166667N
LUG488;LUG488_3;255;38,794444444E;48,394166667N
LUG489;LUG489_3;300;38,806822222E;48,433997222N
LUG489;LUG489_2;180;38,806822222E;48,433997222N
LUG490;LUG490_1;10;38,881944444E;48,559166667N
LUG490;LUG490_2;120;38,881944444E;48,559166667N
LUG490;LUG490_3;240;38,881944444E;48,559166667N
LUG495;LUG495_1;0;39,881757126E;48,427937561N
LUG495;LUG495_2;150;39,881757126E;48,427937561N
LUG495;LUG495_3;220;39,881757126E;48,427937561N
LUG496;LUG496_1;160;39,902661111E;48,287713889N
LUG496;LUG496_2;245;39,902661111E;48,287713889N
LUG496;LUG496_3;310;39,902661111E;48,287713889N
LUG498;LUG498_1;40;39,201388889E;48,392777778N
LUG498;LUG498_2;145;39,201388889E;48,392777778N
LUG498;LUG498_3;270;39,201388889E;48,392777778N
LUG610;LUG610_1;0;38,940291667E;48,577555556N
LUG610;LUG610_2;90;38,940291667E;48,577555556N
LUG610;LUG610_3;300;38,940291667E;48,577555556N
LUG635;LUG635_1;90;38,645494444E;48,635769444N
LUG635;LUG635_2;210;38,645494444E;48,635769444N
LUG635;LUG635_3;330;38,645494444E;48,635769444N
LUG650;LUG650_1;20;39,090555556E;48,246388889N
LUG650;LUG650_2;140;39,090555556E;48,246388889N
LUG650;LUG650_3;250;39,090555556E;48,246388889N
LUG653;LUG653_1;70;39,563055556E;48,078333333N
LUG653;LUG653_2;200;39,563055556E;48,078333333N
LUG653;LUG653_3;290;39,563055556E;48,078333333N
LUG657;LUG657_1;0;39,668055556E;48,126388889N
LUG657;LUG657_2;120;39,668055556E;48,126388889N
LUG657;LUG657_3;230;39,668055556E;48,126388889N
LUG659;LUG659_1;90;39,592777778E;48,0175N
LUG659;LUG659_2;210;39,592777778E;48,0175N
LUG659;LUG659_3;330;39,592777778E;48,0175N
LUG682;LUG682_1;0;39,3536E;48,071944444N
LUG682;LUG682_2;120;39,3536E;48,071944444N
LUG682;LUG682_3;240;39,3536E;48,071944444N
LUG683;LUG683_1;0;39,73E;48,296666667N
LUG683;LUG683_2;120;39,73E;48,296666667N
LUG683;LUG683_3;240;39,73E;48,296666667N
LUG689;LUG689_1;40;38,806822222E;48,433997222N
LUG689;LUG689_2;180;38,806822222E;48,433997222N
LUG689;LUG689_3;300;38,806822222E;48,433997222N
LUG698;LUG698_1;40;39,201388889E;48,392777778N
LUG698;LUG698_2;145;39,201388889E;48,392777778N
LUG698;LUG698_3;270;39,201388889E;48,392777778N
LUG701;LUG701_1;40;39,254136111E;48,558433333N
LUG701;LUG701_2;155;39,254136111E;48,558433333N
LUG701;LUG701_3;285;39,254136111E;48,558433333N
LUG702;LUG702_1;80;39,288055556E;48,565555556N
LUG702;LUG702_2;200;39,288055556E;48,565555556N
LUG702;LUG702_3;335;39,288055556E;48,565555556N
LUG704;LUG704_1;90;39,325083333E;48,568591667N
LUG704;LUG704_2;210;39,325083333E;48,568591667N
LUG704;LUG704_3;339;39,325083333E;48,568591667N
LUG705;LUG705_1;80;39,331388889E;48,558055556N
LUG705;LUG705_2;210;39,331388889E;48,558055556N
