Site;Transmitter;Azimuth (°);Site.Longitude;Site.Latitude
LUG906;LUG906_3;355;38,660277778E;48,505555556N
LUG911;LUG911_1;90;38,818033333E;48,436669444N
LUG911;LUG911_2;210;38,818033333E;48,436669444N
LUG911;LUG911_3;0;38,818033333E;48,436669444N
LUG916;LUG916_1;90;38,660833333E;48,580555556N
LUG916;LUG916_2;210;38,660833333E;48,580555556N
LUG916;LUG916_3;340;38,660833333E;48,580555556N
LUG930;LUG930_1;57;39,205277778E;48,405555556N
LUG930;LUG930_2;150;39,205277778E;48,405555556N
LUG930;LUG930_3;265;39,205277778E;48,405555556N
LUG942;LUG942_2;179;39,030277778E;48,555555556N
LUG942;LUG942_3;300;39,030277778E;48,555555556N
LUG942;LUG942_1;60;39,030277778E;48,555555556N
LUG946;LUG946_1;10;38,906666667E;48,150833333N
LUG946;LUG946_2;120;38,906666667E;48,150833333N
LUG946;LUG946_3;240;38,906666667E;48,150833333N
LUG947;LUG947_1;10;38,93E;48,135277778N
LUG947;LUG947_2;150;38,93E;48,135277778N
LUG947;LUG947_3;240;38,93E;48,135277778N
LUG948;LUG948_1;60;38,883055556E;48,304444444N
LUG948;LUG948_2;180;38,883055556E;48,304444444N
LUG948;LUG948_3;300;38,883055556E;48,304444444N
LUG949;LUG949_1;60;38,830277778E;48,173055556N
LUG949;LUG949_2;160;38,830277778E;48,173055556N
LUG949;LUG949_3;320;38,830277778E;48,173055556N
LUG951;LUG951_1;10;38,933055556E;48,149444444N
LUG951;LUG951_2;120;38,933055556E;48,149444444N
LUG951;LUG951_3;240;38,933055556E;48,149444444N
LUG952;LUG952_1;42;39,085E;48,124444444N
LUG952;LUG952_2;150;39,085E;48,124444444N
LUG952;LUG952_3;250;39,085E;48,124444444N
LUG954;LUG954_1;70;39,645602778E;48,079427778N
LUG954;LUG954_2;175;39,645602778E;48,079427778N
LUG954;LUG954_3;300;39,645602778E;48,079427778N
LUG955;LUG955_1;100;39,7375E;48,292777778N
LUG955;LUG955_2;185;39,7375E;48,292777778N
LUG955;LUG955_3;330;39,7375E;48,292777778N
LUG962;LUG962_1;110;39,685833333E;48,075N
LUG962;LUG962_2;220;39,685833333E;48,075N
LUG962;LUG962_3;340;39,685833333E;48,075N
LUG964;LUG964_1;60;39,651666667E;48,065833333N
LUG964;LUG964_2;200;39,651666667E;48,065833333N
LUG964;LUG964_3;300;39,651666667E;48,065833333N
LUG967;LUG967_1;90;39,789166667E;48,076388889N
LUG967;LUG967_2;210;39,789166667E;48,076388889N
LUG967;LUG967_3;330;39,789166667E;48,076388889N
LUG969;LUG969_1;120;39,733333333E;47,963333333N
LUG969;LUG969_2;220;39,733333333E;47,963333333N
LUG973;LUG973_1;90;38,655833333E;48,563888889N
LUG973;LUG973_2;215;38,655833333E;48,563888889N
LUG973;LUG973_3;335;38,655833333E;48,563888889N
LUG974;LUG974_1;350;38,634444444E;48,496666667N
LUG974;LUG974_2;120;38,634444444E;48,496666667N
LUG974;LUG974_3;240;38,634444444E;48,496666667N
LUG979;LUG979_1;120;39,124913889E;48,177711111N
LUG979;LUG979_2;230;39,124913889E;48,177711111N
LUG979;LUG979_3;340;39,124913889E;48,177711111N
LUG982;LUG982_1;30;39,308627778E;48,733311111N
LUG982;LUG982_2;115;39,308627778E;48,733311111N
LUG982;LUG982_3;230;39,308627778E;48,733311111N
LUG985;LUG985_3;350;38,631636111E;48,469672222N
LUG985;LUG985_1;80;38,631636111E;48,469672222N
LUG985;LUG985_2;275;38,631636111E;48,469672222N
LUG986;LUG986_1;60;38,617377778E;48,541163889N
LUG986;LUG986_2;160;38,617377778E;48,541163889N
LUG986;LUG986_3;300;38,617377778E;48,541163889N
LUG987;LUG987_1;15;39,741388889E;48,296111111N
LUG987;LUG987_2;120;39,741388889E;48,296111111N
LUG987;LUG987_3;215;39,741388889E;48,296111111N
LUG997;LUG997_1;0;39,374366667E;48,083366667N
LUG997;LUG997_2;120;39,374366667E;48,083366667N
LUG997;LUG997_3;240;39,374366667E;48,083366667N
Site449;Site449_GSM_1;40;39,245812226E;48,560439816N
Site449;Site449_GSM_2;145;39,245812226E;48,560439816N
Site449;Site449_GSM_3;290;39,245812226E;48,560439816N
Site506;Site506_GSM_1;33;38,902119637E;49,266098652N
Site506;Site506_GSM_2;160;38,902119637E;49,266098652N
Site506;Site506_GSM_3;260;38,902119637E;49,266098652N
Site529;Site529_GSM_1;0;38,99013E;48,966505N
Site529;Site529_GSM_2;120;38,99013E;48,966505N
Site529;Site529_GSM_3;240;38,99013E;48,966505N
